"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 VH)","2016-Oct-28 16:02 ±","6.49/0.01669","6.49/0.01668","5.31","5.28","2.71e+03","26.7","17","APO*"
"(2016 TZ19)","2016-Oct-29 06:01 ±","18.96/0.04873","18.95/0.04868","16.47","16.46","2.39e+03","23.1","11","ATE*"
"(2016 UR41)","2016-Oct-29 11:28 ±","2.56/0.00659","2.56/0.00657","10.20","10.16","581","28.0","1","APO*"
"(2016 UB41)","2016-Oct-29 19:51 ±","4.12/0.01059","4.11/0.01056","11.74","11.72","694","27.1","1","APO*"
"(2016 UQ5)","2016-Oct-30 13:04 ±","13.88/0.03566","13.84/0.03557","8.14","8.13","746","25.0","5","APO*"
"(2016 VH6)","2016-Oct-30 21:55 ±   00:03","8.80/0.02261","8.61/0.02213","10.39","10.38","152","26.2","1","APO*"
"(2016 UR36)","2016-Oct-31 03:14 ±","1.30/0.00334","1.30/0.00333","18.10","18.06","794","27.5","3","APO*"
"(2016 TB57)","2016-Oct-31 04:19 ±","5.24/0.01347","5.24/0.01347","2.68","2.61","2.31e+04","26.1","17","APO*"
"(2016 UP36)","2016-Oct-31 05:37 ±","5.02/0.01291","5.01/0.01287","15.86","15.84","757","25.9","3","APO*"
"164121 (2003 YT1)","2016-Oct-31 09:25 ±","13.53/0.03477","13.53/0.03477","24.06","24.06","1.22e+06","16.2","106","APO*"
"(2016 UG57)","2016-Oct-31 12:48 ±","5.66/0.01454","5.65/0.01453","6.63","6.60","2.25e+03","27.7","3","APO*"
"(2016 VP1)","2016-Nov-01 04:41 ±   00:05","1.23/0.00315","1.22/0.00313","16.93","16.88","288","27.3","1","APO*"
"(2016 VZ17)","2016-Nov-01 10:26 ±   21:20","3.32/0.00853","0.11/0.00029","9.96","9.93","80.3","27.5","3","APO*"
"(2016 UH57)","2016-Nov-01 14:17 ±","6.86/0.01763","6.85/0.01760","8.02","8.00","879","26.3","5","APO*"
"(2016 VA)","2016-Nov-02 00:42 ±","0.25/0.00063","0.24/0.00063","21.24","21.04","2.44e+03","27.3","2","ATE*"
"(2016 VO4)","2016-Nov-02 08:51 ±","17.03/0.04376","16.83/0.04325","17.94","17.93","599","24.8","2","APO*"
"(2016 VM3)","2016-Nov-02 11:12 ±","11.09/0.02850","11.06/0.02841","8.22","8.21","556","24.9","4","APO*"
"(2016 UX5)","2016-Nov-02 23:36 ±","7.08/0.01819","7.07/0.01816","6.08","6.05","940","26.5","6","APO*"
"(2016 VO2)","2016-Nov-03 00:56 ±","6.63/0.01702","6.57/0.01688","14.86","14.85","267","26.7","1","APO*"
"(2016 VW2)","2016-Nov-03 11:43 ±","10.68/0.02743","10.63/0.02732","8.17","8.16","437","26.3","5","APO*"
"(2016 VJ3)","2016-Nov-03 17:46 ±","11.21/0.02881","11.09/0.02848","27.62","27.62","234","24.6","2","APO*"
"(2016 TG55)","2016-Nov-04 02:04 ±","3.83/0.00985","3.83/0.00985","5.95","5.91","2.96e+03","25.9","19","APO*"
"(2016 VW5)","2016-Nov-04 10:46 ±","11.89/0.03055","11.73/0.03014","15.77","15.77","168","24.2","2","APO*"
"(2016 VL2)","2016-Nov-04 16:08 ±","10.92/0.02805","10.83/0.02782","7.21","7.20","218","27.0","2","APO*"
"(2016 VB4)","2016-Nov-04 21:02 ±","3.94/0.01012","3.93/0.01009","17.57","17.55","961","23.7","4","APO*"
"(2016 VQ2)","2016-Nov-05 08:04 ±","16.41/0.04217","16.39/0.04211","11.09","11.09","1.39e+03","23.4","6","APO*"
"(2016 VX2)","2016-Nov-05 15:41 ±","11.35/0.02916","11.30/0.02904","6.84","6.83","423","25.7","4","AMO*"
"(2016 UE)","2016-Nov-05 17:38 ±","5.21/0.01339","5.21/0.01338","3.81","3.75","1.91e+03","25.2","8","APO*"
"(2016 UC107)","2016-Nov-06 04:58 ±","5.43/0.01395","5.42/0.01393","12.84","12.82","1.38e+03","25.6","2","APO*"
"(2016 VF)","2016-Nov-06 07:32 ±","14.05/0.03612","14.01/0.03600","8.29","8.28","598","26.5","1","APO*"
"(2016 VO3)","2016-Nov-06 14:03 ±","12.81/0.03291","12.74/0.03275","10.00","9.99","388","26.1","3","APO*"
"(2016 VG)","2016-Nov-06 19:08 ±","4.12/0.01060","4.12/0.01058","10.37","10.34","1.95e+03","26.7","3","ATE*"
"(2016 VN1)","2016-Nov-06 23:16 ±","10.51/0.02701","10.46/0.02689","17.13","17.13","507","25.8","2","APO*"
"(2016 WR)","2016-Nov-07 03:34 ±   00:04","10.81/0.02777","10.70/0.02750","7.72","7.71","188","26.6","2","ATE*"
"(2016 VD4)","2016-Nov-07 05:00 ±","1.47/0.00378","1.47/0.00378","6.67","6.56","1.46e+03","27.6","3","APO*"
"(2002 UQ12)","2016-Nov-07 06:01 ±","19.44/0.04996","19.44/0.04995","20.08","20.08","2.03e+05","22.4","21","APO*"
"(2016 VB18)","2016-Nov-07 06:53 ±   00:02","1.99/0.00512","1.81/0.00465","11.65","11.60","274","26.5","3","APO*"
"(2016 VZ1)","2016-Nov-07 09:10 ±","8.18/0.02101","8.15/0.02095","12.91","12.90","747","26.0","3","APO*"
"(2016 VU5)","2016-Nov-07 15:43 ±","4.01/0.01031","4.00/0.01028","6.91","6.87","631","27.4","3","APO*"
"(2016 VB1)","2016-Nov-07 15:57 ±","0.70/0.00179","0.70/0.00179","5.72","5.46","1.13e+04","28.6","3","ATE*"
"(2016 VS)","2016-Nov-07 21:26 ±","2.73/0.00703","2.73/0.00702","9.63","9.59","1.77e+03","27.4","2","APO*"
"(2016 VR4)","2016-Nov-09 06:16 ±","1.96/0.00503","1.95/0.00501","10.98","10.93","537","28.9","1","APO*"
"(2016 WW)","2016-Nov-10 08:40 ±   00:13","13.62/0.03499","13.26/0.03407","15.01","15.00","84.9","25.4","2","APO*"
"(2016 VF18)","2016-Nov-10 11:35 ±   00:26","0.18/0.00047","0.16/0.00041","13.74","13.31","47.2","29.9","1","APO*"
"(2004 KB)","2016-Nov-10 13:33 ± 1_05:06","10.01/0.02572","8.72/0.02241","13.52","13.51","910","21.1","12","APO*"
"(2016 WX)","2016-Nov-10 14:29 ±   00:05","10.21/0.02624","10.06/0.02586","11.97","11.96","143","25.6","2","APO*"
"(2016 VA1)","2016-Nov-11 02:38 ±","11.24/0.02889","11.21/0.02880","19.03","19.02","780","23.5","7","APO*"
"(2016 VQ)","2016-Nov-11 10:21 ±","2.53/0.00650","2.52/0.00648","13.45","13.42","669","26.0","5","APO*"
"(2016 VD18)","2016-Nov-12 08:17 ±   00:04","14.63/0.03758","14.48/0.03721","10.56","10.55","196","25.6","3","AMO*"
"(2016 VZ)","2016-Nov-12 10:21 ±","3.05/0.00784","3.05/0.00783","9.77","9.74","1.3e+03","26.0","6","APO*"
"(2016 VR)","2016-Nov-12 13:31 ±","6.17/0.01586","6.15/0.01580","9.76","9.75","496","26.2","4","APO*"
"(2016 VY1)","2016-Nov-12 15:13 ±","2.59/0.00665","2.58/0.00663","6.11","6.04","409","24.7","4","APO*"
"(2016 WO)","2016-Nov-12 17:47 ±","12.69/0.03260","12.63/0.03246","14.93","14.92","531","25.4","3","APO*"
"(2016 UN5)","2016-Nov-12 18:43 ±","18.93/0.04864","18.90/0.04856","4.90","4.89","937","25.0","8","APO*"
"(2016 VN3)","2016-Nov-12 21:39 ±","6.12/0.01572","6.09/0.01564","17.60","17.59","472","26.2","2","APO*"
"(2016 WN1)","2016-Nov-13 04:24 ±","12.46/0.03202","12.45/0.03199","15.98","15.97","2.73e+03","25.3","10","APO*"
"(2016 VX1)","2016-Nov-13 21:11 ±","5.23/0.01343","5.17/0.01329","17.04","17.03","217","25.2","2","APO*"
"(2016 UB107)","2016-Nov-14 10:52 ±","8.38/0.02154","8.36/0.02148","4.90","4.87","653","25.1","1","APO*"
"(2016 VE4)","2016-Nov-15 08:24 ±","5.24/0.01347","5.23/0.01343","7.30","7.27","638","26.4","3","APO*"
"(2016 WU)","2016-Nov-15 10:01 ±","2.04/0.00524","2.04/0.00524","7.10","7.02","1.46e+03","27.3","7","APO*"
"(2016 WC2)","2016-Nov-15 10:53 ±   00:03","3.35/0.00862","3.30/0.00849","13.25","13.23","145","27.2","1","APO*"
"(2016 WT1)","2016-Nov-15 12:08 ±","13.11/0.03369","13.03/0.03349","12.63","12.62","341","25.8","2","APO*"
"(2016 WF1)","2016-Nov-15 12:59 ±","4.93/0.01267","4.92/0.01265","7.34","7.31","1.24e+03","27.7","3","APO*"
"(2016 VK2)","2016-Nov-16 21:59 ±","11.34/0.02913","11.19/0.02876","15.51","15.50","177","25.0","3","APO*"
"(2016 WF)","2016-Nov-16 22:49 ±","5.71/0.01466","5.70/0.01463","5.89","5.86","900","27.0","5","APO*"
"(2016 WD)","2016-Nov-16 23:01 ±","18.48/0.04748","18.34/0.04714","13.90","13.90","295","25.0","3","AMO*"
"(2016 WC)","2016-Nov-17 04:08 ±","1.73/0.00444","1.72/0.00443","21.85","21.82","713","27.7","1","APO*"
"(2016 WT)","2016-Nov-17 06:54 ±","0.50/0.00129","0.50/0.00129","10.95","10.76","853","29.7","3","APO*"
"(2016 VV2)","2016-Nov-17 09:00 ±   00:01","16.71/0.04294","16.37/0.04206","8.20","8.19","88.9","24.7","4","APO*"
"(2016 WY)","2016-Nov-17 13:59 ±","1.73/0.00445","1.73/0.00445","3.34","3.15","3.25e+03","29.2","8","ATE*"
"(2016 WE)","2016-Nov-17 14:50 ±","10.89/0.02797","10.84/0.02784","7.18","7.16","370","26.6","4","APO*"
"(2016 UY56)","2016-Nov-18 06:24 ±","7.20/0.01851","7.19/0.01847","11.86","11.85","1.23e+03","23.8","17","APO*"
"433953 (1997 XR2)","2016-Nov-18 15:05 ±","18.51/0.04756","18.51/0.04756","6.35","6.34","9.72e+05","20.8","68","APO*"
"(2016 WQ1)","2016-Nov-19 01:15 ±","2.34/0.00601","2.34/0.00600","7.92","7.86","1.08e+03","27.9","11","APO*"
"(2016 WN7)","2016-Nov-20 02:06 ±","4.19/0.01076","4.17/0.01071","6.19","6.15","425","27.9","4","ATE*"
"(2016 WM7)","2016-Nov-20 05:47 ±","14.17/0.03641","14.15/0.03635","5.47","5.45","957","26.0","7","APO*"
"(2016 WH)","2016-Nov-21 00:07 ±","2.34/0.00602","2.33/0.00600","11.10","11.06","685","27.1","2","APO*"
"(2016 WL1)","2016-Nov-21 05:35 ±","18.06/0.04641","17.96/0.04615","7.08","7.08","305","25.8","2","APO*"
"(2016 WT3)","2016-Nov-21 12:54 ±","0.94/0.00243","0.94/0.00242","14.52","14.44","502","28.6","1","APO*"
"(2016 WF7)","2016-Nov-21 15:38 ±","1.95/0.00502","1.95/0.00500","6.52","6.43","513","28.7","5","ATE*"
"(2016 VC1)","2016-Nov-22 02:54 ±","17.58/0.04517","17.54/0.04508","18.23","18.23","1.2e+03","21.7","12","APO*"
"(2016 WT7)","2016-Nov-22 10:39 ±","9.51/0.02443","9.50/0.02440","3.70","3.67","1.48e+03","25.9","8","APO*"
"(2016 VS1)","2016-Nov-22 21:48 ±","19.26/0.04949","19.19/0.04931","5.14","5.13","456","25.8","6","ATE*"
"(2016 WC10)","2016-Nov-23 00:09 ±   00:04","2.88/0.00740","2.86/0.00735","9.44","9.40","287","27.2","1","APO*"
"(2016 WU7)","2016-Nov-24 06:13 ±","4.85/0.01247","4.85/0.01245","15.81","15.80","1.92e+03","25.1","3","ATE*"
"(2016 WW2)","2016-Nov-25 02:46 ±","0.35/0.00089","0.35/0.00089","9.87","9.56","2.71e+03","29.0","3","APO*"
"(2016 WU2)","2016-Nov-25 03:41 ±","1.46/0.00375","1.46/0.00375","7.53","7.44","4.2e+03","27.4","2","APO*"
"(2016 WV2)","2016-Nov-25 10:21 ±","6.69/0.01719","6.68/0.01716","7.71","7.69","992","26.3","3","APO*"
"(2016 WG)","2016-Nov-25 20:08 ±","4.20/0.01079","4.19/0.01078","23.30","23.29","1.96e+03","23.3","11","APO*"
"(2016 WW7)","2016-Nov-26 00:52 ±","12.82/0.03294","12.75/0.03277","8.40","8.39","348","26.8","2","AMO*"
"(2016 WV7)","2016-Nov-26 11:12 ±","10.76/0.02764","10.73/0.02757","4.79","4.77","636","27.2","4","APO*"
"(2016 XC18)","2016-Nov-26 17:34 ±","16.35/0.04203","16.29/0.04186","20.56","20.56","1.29e+03","21.9","7","APO*"
"(2016 WR55)","2016-Nov-26 17:46 ±","1.13/0.00289","1.12/0.00288","14.18","14.12","445","28.3","1","APO*"
"(2016 WR8)","2016-Nov-26 20:11 ±","6.49/0.01668","6.46/0.01660","11.75","11.74","424","27.5","3","APO*"
"(2016 XH)","2016-Nov-27 15:12 ±   00:01","19.04/0.04891","18.83/0.04839","6.97","6.96","162","26.0","3","AMO*"
"(2016 WA8)","2016-Nov-27 21:44 ±","8.31/0.02136","8.29/0.02131","13.93","13.92","869","24.8","4","APO*"
"(2016 WL7)","2016-Nov-29 02:04 ±","11.54/0.02966","11.52/0.02959","6.83","6.82","780","24.3","3","APO*"
"(2016 XG)","2016-Nov-29 05:58 ±","3.19/0.00819","3.18/0.00816","11.74","11.71","611","28.4","1","APO*"
"(2016 XQ1)","2016-Nov-29 18:06 ±","8.19/0.02104","8.17/0.02100","8.73","8.72","831","26.0","7","APO*"
"(2016 XL18)","2016-Nov-29 22:01 ±","14.48/0.03720","14.44/0.03711","7.51","7.50","770","26.2","4","APO*"
"(2016 WQ)","2016-Nov-30 10:56 ±","4.45/0.01144","4.43/0.01138","13.57","13.55","441","25.5","6","APO*"
"(2016 XL23)","2016-Nov-30 12:54 ±","0.23/0.00058","0.23/0.00058","10.60","10.16","1.08e+03","29.3","1","APO*"
"(2016 WZ8)","2016-Nov-30 18:47 ±","4.15/0.01067","4.15/0.01065","4.93","4.88","941","28.4","4","APO*"
"(2016 WC8)","2016-Dec-01 03:35 ±","17.66/0.04537","17.58/0.04517","10.78","10.77","457","24.1","2","APO*"
"(2016 WG7)","2016-Dec-01 15:55 ±","2.61/0.00670","2.61/0.00670","6.58","6.52","4.06e+03","26.1","7","ATE*"
"(2016 WQ3)","2016-Dec-01 18:47 ±","1.48/0.00380","1.48/0.00380","3.55","3.35","1.91e+03","28.8","5","APO*"
"(2016 XJ)","2016-Dec-01 23:16 ±","5.09/0.01307","5.08/0.01306","4.65","4.61","1.36e+03","27.4","2","APO*"
"(2016 XZ20)","2016-Dec-02 15:55 ±   00:02","8.95/0.02299","8.74/0.02245","23.43","23.43","108","23.8","2","APO*"
"(2016 WU9)","2016-Dec-03 05:45 ±","18.58/0.04774","18.40/0.04727","17.12","17.12","233","25.1","2","APO*"
"(2016 XB)","2016-Dec-03 21:07 ±   00:06","13.46/0.03458","13.38/0.03438","7.69","7.68","296","26.7","1","APO*"
"(2016 XP1)","2016-Dec-05 10:42 ±","10.92/0.02806","10.89/0.02798","8.08","8.07","697","26.8","4","APO*"
"(2016 WB8)","2016-Dec-05 17:46 ±","3.60/0.00926","3.60/0.00925","8.29","8.26","1.77e+03","25.9","7","APO*"
"(2016 WD7)","2016-Dec-06 09:21 ±","4.18/0.01074","4.18/0.01074","2.81","2.72","2.38e+04","27.3","8","APO*"
"(2016 TD18)","2016-Dec-06 17:56 ±","17.84/0.04584","17.84/0.04584","6.29","6.28","2.13e+04","23.3","13","APO*"
"(2016 WH10)","2016-Dec-06 19:20 ±","5.70/0.01465","5.69/0.01462","10.45","10.43","1.09e+03","26.0","5","APO*"
"(2016 YD8)","2016-Dec-07 02:34 ±   02:42","9.08/0.02333","8.98/0.02307","15.47","15.47","119","22.9","2","APO*"
"(2016 XE)","2016-Dec-07 08:42 ±","1.47/0.00379","1.47/0.00378","7.02","6.92","1.67e+03","28.2","4","APO*"
"(2016 WQ8)","2016-Dec-08 20:40 ±","5.08/0.01306","5.06/0.01301","13.95","13.94","605","24.6","6","APO*"
"(2016 XA)","2016-Dec-12 01:30 ±","7.20/0.01849","7.16/0.01840","11.06","11.05","394","25.8","7","APO*"
"(2016 XR23)","2016-Dec-12 13:11 ±","4.43/0.01137","4.42/0.01135","5.93","5.89","889","25.3","14","APO*"
"(2008 UL90)","2016-Dec-12 14:53 ±","15.23/0.03914","15.23/0.03914","13.15","13.15","2.62e+05","18.6","41","IEO*"
"(2016 XW20)","2016-Dec-13 00:18 ±","1.79/0.00460","1.79/0.00459","8.42","8.35","1.5e+03","26.7","4","APO*"
"(2016 YY)","2016-Dec-13 05:14 ±","15.01/0.03858","14.99/0.03851","15.99","15.99","2.69e+03","25.4","3","APO*"
"(2016 XA21)","2016-Dec-13 17:25 ±","12.63/0.03246","12.60/0.03238","5.83","5.81","674","25.8","4","APO*"
"(2015 YA)","2016-Dec-13 19:45 ±   00:14","9.61/0.02470","9.11/0.02340","8.00","7.99","3.73e+04","27.4","6","ATE*"
"(2015 XX169)","2016-Dec-13 20:23 ±","7.46/0.01918","7.46/0.01918","6.43","6.41","1.48e+04","27.4","6","APO*"
"(2016 YH)","2016-Dec-15 17:47 ±","7.68/0.01973","7.66/0.01968","8.80","8.78","785","25.5","5","ATE*"
"(2016 YK4)","2016-Dec-15 20:11 ±","5.38/0.01382","5.36/0.01377","7.94","7.92","462","26.1","3","ATE*"
"(2016 YL3)","2016-Dec-16 13:09 ±","15.75/0.04048","15.68/0.04029","10.42","10.41","413","25.3","2","APO*"
"(2016 YE)","2016-Dec-16 21:01 ±","12.18/0.03130","12.16/0.03124","4.68","4.66","745","26.0","5","APO*"
"(2016 XK18)","2016-Dec-18 22:01 ±","5.85/0.01504","5.85/0.01502","8.53","8.51","2.02e+03","24.4","11","APO*"
"(2017 AG3)","2016-Dec-19 00:36 ±   00:09","15.87/0.04077","15.66/0.04024","10.72","10.71","149","25.5","1","APO*"
"(2010 XN)","2016-Dec-21 00:27 ±","17.47/0.04489","17.47/0.04488","11.65","11.65","1.15e+05","24.4","14","APO*"
"(2006 XD2)","2016-Dec-21 07:55 ±","18.86/0.04845","18.86/0.04845","13.59","13.58","9.32e+05","21.0","43","APO*"
"(2016 YG)","2016-Dec-21 15:41 ±","11.70/0.03005","11.67/0.02999","7.44","7.43","810","26.0","4","APO*"
"(2015 YQ1)","2016-Dec-21 16:09 ±   00:20","6.17/0.01585","5.58/0.01433","11.99","11.98","5.29e+04","28.0","7","APO*"
"(2016 YJ)","2016-Dec-22 10:22 ±","1.22/0.00313","1.22/0.00312","9.36","9.27","1.1e+03","27.2","6","APO*"
"(2016 YY10)","2016-Dec-22 14:23 ±","8.97/0.02306","8.93/0.02294","9.79","9.78","372","25.9","1","APO*"
"(2016 YS)","2016-Dec-23 03:02 ±","3.92/0.01008","3.92/0.01008","8.46","8.43","2.74e+03","25.0","3","APO*"
"(2016 XD2)","2016-Dec-23 19:29 ±","16.91/0.04345","16.86/0.04331","7.33","7.33","569","23.9","10","ATE*"
"(2016 YQ)","2016-Dec-23 23:36 ±","12.24/0.03146","12.22/0.03139","6.52","6.51","888","24.8","5","APO*"
"(2016 YF)","2016-Dec-24 20:53 ±","8.68/0.02231","8.67/0.02228","7.70","7.69","1.29e+03","25.4","11","APO*"
"(2016 YR)","2016-Dec-27 05:00 ±   00:04","7.16/0.01841","7.14/0.01836","2.33","2.27","564","27.2","5","APO*"
"(2017 AE3)","2016-Dec-28 13:49 ±","8.48/0.02178","8.44/0.02169","18.93","18.92","556","21.8","2","APO*"
"(2016 YM3)","2016-Dec-29 03:06 ±","4.41/0.01134","4.40/0.01130","8.37","8.34","614","26.9","1","APO*"
"(2012 YK)","2016-Dec-30 01:58 ±","16.87/0.04334","16.87/0.04334","10.51","10.50","4.28e+05","23.0","28","ATE*"
"(2016 YH3)","2016-Dec-31 09:00 ±","14.56/0.03741","14.48/0.03720","14.59","14.59","395","24.6","2","APO*"
"226514 (2003 UX34)","2017-Jan-02 12:18 ±","19.03/0.04890","19.03/0.04890","20.65","20.65","7.16e+05","20.0","49","APO*"
"(2016 YB8)","2017-Jan-04 05:44 ±","11.68/0.03001","11.65/0.02993","12.43","12.42","742","24.4","6","APO*"
"(2016 XK)","2017-Jan-04 12:46 ±","16.85/0.04330","16.77/0.04309","7.82","7.81","369","23.2","7","APO*"
